Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
hadoop,org.apache.hadoop.yarn.server.api,ResourceManagerConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: RM_INVALID_IDENTIFIER
hadoop,org.apache.hadoop.yarn.server.api.protocolrecords,RunSharedCacheCleanerTaskRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.exceptions,YarnException,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: ApplicationAttemptNotFoundException; InvalidResourceBlacklistRequestException; ContainerNotFoundException; InvalidApplicationMasterRequestException; InvalidResourceRequestException; InvalidContainerReleaseException; NMNotYetReadyException; ApplicationMasterNotRegisteredException; ApplicationNotFoundException; ApplicationIdNotProvidedException; InvalidContainerException; InvalidAuxServiceException
hadoop,org.apache.hadoop.yarn.exceptions,ApplicationAttemptNotFoundException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.exceptions,ApplicationAttemptNotFoundException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): YarnException
hadoop,org.apache.hadoop.yarn.exceptions,InvalidResourceBlacklistRequestException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.exceptions,InvalidResourceBlacklistRequestException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): YarnException
hadoop,org.apache.hadoop.yarn.exceptions,ContainerNotFoundException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.exceptions,ContainerNotFoundException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): YarnException
hadoop,org.apache.hadoop.yarn.exceptions,InvalidApplicationMasterRequestException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.exceptions,InvalidApplicationMasterRequestException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): YarnException
hadoop,org.apache.hadoop.yarn.exceptions,InvalidResourceRequestException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.exceptions,InvalidResourceRequestException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): YarnException
hadoop,org.apache.hadoop.yarn.exceptions,InvalidContainerReleaseException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.exceptions,InvalidContainerReleaseException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): YarnException
hadoop,org.apache.hadoop.yarn.exceptions,NMNotYetReadyException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.exceptions,NMNotYetReadyException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): YarnException
hadoop,org.apache.hadoop.yarn.exceptions,ApplicationMasterNotRegisteredException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.exceptions,ApplicationMasterNotRegisteredException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): YarnException
