Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetContainerStatusesResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetDelegationTokenRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetDelegationTokenResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetNewApplicationRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetNewApplicationResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetQueueInfoRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetQueueInfoResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetQueueUserAclsInfoRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetQueueUserAclsInfoResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testKillApplicationRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testKillApplicationResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testMoveApplicationAcrossQueuesRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testMoveApplicationAcrossQueuesResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRegisterApplicationMasterRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRegisterApplicationMasterResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRenewDelegationTokenRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRenewDelegationTokenResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testStartContainerRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testStartContainersRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testStartContainersResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testStopContainersRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testStopContainersResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testSubmitApplicationRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testSubmitApplicationResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testApplicationAttemptIdPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testApplicationAttemptIdPBImpl,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testApplicationAttemptReportPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testApplicationIdPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testApplicationIdPBImpl,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testApplicationReportPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testApplicationResourceUsageReportPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testContainerIdPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testContainerIdPBImpl,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testContainerLaunchContextPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testContainerPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testContainerReportPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testContainerResourceDecreasePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testContainerResourceIncreasePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testContainerResourceIncreaseRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testContainerStatusPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testLocalResourcePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testNMTokenPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testNodeIdPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testNodeIdPBImpl,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testNodeReportPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testPreemptionContainerPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testPreemptionContractPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testPreemptionMessagePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testPreemptionResourceRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testPriorityPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testQueueInfoPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testQueueUserACLInfoPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testResourceBlacklistRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testResourceOptionPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testResourceOptionPBImpl,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testResourcePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testResourceRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testSerializedExceptionPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testStrictPreemptionContractPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testTokenPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testURLPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testYarnClusterMetricsPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRefreshAdminAclsRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRefreshAdminAclsResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRefreshNodesRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRefreshNodesResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRefreshQueuesRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRefreshQueuesResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRefreshServiceAclsRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRefreshServiceAclsResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRefreshSuperUserGroupsConfigurationRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRefreshSuperUserGroupsConfigurationResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRefreshUserToGroupsMappingsRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRefreshUserToGroupsMappingsResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testUpdateNodeResourceRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testUpdateNodeResourceResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testReservationSubmissionRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testReservationSubmissionResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testReservationUpdateRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testReservationUpdateResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testReservationDeleteRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testReservationDeleteResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testAddToClusterNodeLabelsRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testAddToClusterNodeLabelsResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRemoveFromClusterNodeLabelsRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testRemoveFromClusterNodeLabelsResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetClusterNodeLabelsRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetClusterNodeLabelsResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testReplaceLabelsOnNodeRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testReplaceLabelsOnNodeResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetNodeToLabelsRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetNodeToLabelsResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetLabelsToNodesRequestPBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestPBImplRecords,testGetLabelsToNodesResponsePBImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.api,TestNodeId,testNodeId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
