Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMRestart,testAppAttemptTokensRestoredOnRMRestart,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMRestart,testRMDelegationTokenRestoredOnRMRestart,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMRestart,testRMDelegationTokenRestoredOnRMRestart,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMRestart,testAppSubmissionWithOldDelegationTokenAfterRMRestart,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMRestart,testRMStateStoreDispatcherDrainedOnRMStop,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMRestart,testFinishedAppRemovalAfterRMRestart,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMRestart,testClientRetryOnKillingApplication,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMRestart,testQueueMetricsOnRMRestart,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestResourceManager,testResourceAllocation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestResourceManager,testNMExpiryAndHeartbeatIntervalsValidation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestResourceManager,testNMExpiryAndHeartbeatIntervalsValidation,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestApplicationACLs,testApplicationACLs,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestApplicationCleanup,testAppCleanup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestApplicationCleanup,testContainerCleanup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestResourceTrackerService,testDecommissionWithIncludeHosts,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestResourceTrackerService,testDecommissionWithExcludeHosts,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestResourceTrackerService,testAddNewIncludePathToConfiguration,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestResourceTrackerService,testAddNewExcludePathToConfiguration,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestResourceTrackerService,testNodeRegistrationVersionLessThanRM,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestResourceTrackerService,testNodeRegistrationFailure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestResourceTrackerService,testNodeRegistrationWithMinimumAllocations,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestResourceTrackerService,testReboot,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestResourceTrackerService,testReconnectNode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAMAuthorization,TestAMAuthorization,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAMAuthorization,testAuthorizedAccess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAMAuthorization,testAuthorizedAccess,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAMAuthorization,testUnauthorizedAccess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAMAuthorization,testUnauthorizedAccess,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestApplicationMasterLauncher,testAMLaunchAndCleanup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMNodeTransitions,testRunningExpire,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMNodeTransitions,testUnhealthyExpire,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMNodeTransitions,testRunningDecommission,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMNodeTransitions,testUnhealthyDecommission,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMNodeTransitions,testRunningRebooting,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMNodeTransitions,testUnhealthyRebooting,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMNodeTransitions,testAdd,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMNodeTransitions,testReconnect,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMService,testGetClusterNodes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMService,testGetApplicationReport,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMService,testForceKillApplication,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMService,testTokenRenewalByOwner,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMService,testTokenRenewalWrongUser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMService,testTokenRenewalWrongUser,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMService,testTokenRenewalByLoginUser,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMService,testGetApplications,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMHA,testTransitionsWhenAutomaticFailoverEnabled,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMHA,testTransitionsWhenAutomaticFailoverEnabled,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMHA,testRMDispatcherForHA,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestFifoScheduler,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestFifoScheduler,testDefaultMinimumAllocation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestFifoScheduler,testNonDefaultMinimumAllocation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,QueueACLsTestBase,testApplicationACLs,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMAuditLogger,testKeyValLogFormat,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMAuditLogger,testRMAuditLoggerWithoutIP,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMAuditLogger,testRMAuditLoggerWithIP,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAppManager,testRMAppRetireNone,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAppManager,testRMAppRetireSome,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAppManager,testRMAppRetireSomeDifferentStates,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAppManager,testRMAppRetireNullApp,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
