Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Statement,The length of the statement "LOG.info("Got node report from ASM for" + "` nodeId=" + node.getNodeId() + "` nodeAddress"+ node.getHttpAddress()+ "` nodeRackName"+ node.getRackName()+ "` nodeNumContainers"+ node.getNumContainers());" is 201.,383
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Statement,The length of the statement "LOG.info("Queue info" + "` queueName=" + queueInfo.getQueueName() + "` queueCurrentCapacity="+ queueInfo.getCurrentCapacity()+ "` queueMaxCapacity="+ queueInfo.getMaximumCapacity()+ "` queueApplicationCount="+ queueInfo.getApplications().size()+ "` queueChildQueueCount="+ queueInfo.getChildQueues().size());" is 308.,383
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Statement,The length of the statement "LOG.info("AM memory specified above max threshold of cluster. Using max value." + "` specified=" + amMemory + "` max="+ maxMem);" is 128.,383
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Statement,The length of the statement "LOG.info("AM virtual cores specified above max threshold of cluster. " + "Using max value." + "` specified=" + amVCores + "` max="+ maxVCores);" is 143.,383
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Statement,The length of the statement "for ( String c : conf.getStrings(YarnConfiguration.YARN_APPLICATION_CLASSPATH`YarnConfiguration.DEFAULT_YARN_APPLICATION_CLASSPATH)) {" is 134.,383
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Magic Number,The method contains a magic number: 30,383
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,monitorApplication,Long Statement,The length of the statement "LOG.info("Got application report from ASM for" + "` appId=" + appId.getId() + "` clientToAMToken="+ report.getClientToAMToken()+ "` appDiagnostics="+ report.getDiagnostics()+ "` appMasterHost="+ report.getHost()+ "` appQueue="+ report.getQueue()+ "` appMasterRpcPort="+ report.getRpcPort()+ "` appStartTime="+ report.getStartTime()+ "` yarnAppState="+ report.getYarnApplicationState().toString()+ "` distributedFinalState="+ report.getFinalApplicationStatus().toString()+ "` appTrackingUrl="+ report.getTrackingUrl()+ "` appUser="+ report.getUser());" is 550.,658
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,monitorApplication,Long Statement,The length of the statement "LOG.info("Application did finished unsuccessfully." + " YarnState=" + state.toString() + "` DSFinalStatus="+ dsStatus.toString()+ ". Breaking monitoring loop");" is 160.,658
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,monitorApplication,Long Statement,The length of the statement "LOG.info("Application did not finish." + " YarnState=" + state.toString() + "` DSFinalStatus="+ dsStatus.toString()+ ". Breaking monitoring loop");" is 147.,658
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,monitorApplication,Magic Number,The method contains a magic number: 1000,658
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,addToLocalResources,Long Parameter List,The method has 6 parameters. ,742
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,addToLocalResources,Long Statement,The length of the statement "LocalResource scRsrc=LocalResource.newInstance(ConverterUtils.getYarnUrlFromURI(dst.toUri())`LocalResourceType.FILE`LocalResourceVisibility.APPLICATION`scFileStatus.getLen()`scFileStatus.getModificationTime());" is 210.,742
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,addToLocalResources,Magic Number,The method contains a magic number: 0710,742
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,main,Magic Number,The method contains a magic number: 2,245
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Complex Conditional,The conditional expression !shellScriptPath.isEmpty() && (shellScriptPathTimestamp <= 0 || shellScriptPathLen <= 0) is complex.,307
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Complex Method,Cyclomatic complexity of the method is 23,307
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Long Method,The method has 105 lines of code.,307
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Long Statement,The length of the statement "LOG.info("Application master for app" + "` appId=" + appAttemptID.getApplicationId().getId() + "` clustertimestamp="+ appAttemptID.getApplicationId().getClusterTimestamp()+ "` attemptId="+ appAttemptID.getAttemptId());" is 218.,307
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Long Statement,The length of the statement "LOG.error("Illegal values in env for shell script path" + "` path=" + shellScriptPath + "` len="+ shellScriptPathLen+ "` timestamp="+ shellScriptPathTimestamp);" is 160.,307
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Long Statement,The length of the statement "RegisterApplicationMasterResponse response=amRMClient.registerApplicationMaster(appMasterHostname`appMasterRpcPort`appMasterTrackingUrl);" is 137.,476
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Long Statement,The length of the statement "LOG.info("Container memory specified above max threshold of cluster." + " Using max value." + "` specified=" + containerMemory + "` max="+ maxMem);" is 147.,476
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Long Statement,The length of the statement "LOG.info("Container virtual cores specified above max threshold of cluster." + " Using max value." + "` specified=" + containerVirtualCores + "` max="+ maxVCores);" is 163.,476
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Magic Number,The method contains a magic number: 1000,476
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,finish,Empty catch clause,The method has an empty catch block.,572
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,finish,Long Statement,The length of the statement "appMessage="Diagnostics." + "` total=" + numTotalContainers + "` completed="+ numCompletedContainers.get()+ "` allocated="+ numAllocatedContainers.get()+ "` failed="+ numFailedContainers.get();" is 193.,572
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,finish,Magic Number,The method contains a magic number: 200,572
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,finish,Magic Number,The method contains a magic number: 10000,572
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,setup,Long Statement,The length of the statement "LOG.info("MiniYARN ResourceManager published web address: " + yarnClusterConfig.get(YarnConfiguration.RM_WEBAPP_ADDRESS));" is 122.,56
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,setup,Magic Number,The method contains a magic number: 128,56
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,setup,Magic Number,The method contains a magic number: 2000,56
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testDSShell,Long Statement,The length of the statement "String[] args={"--classpath"`classpath`"--queue"`"default"`"--cmd"`javaHome + "/bin/java -Xmx512m " + TestUnmanagedAMLauncher.class.getCanonicalName()+ " success"};" is 164.,124
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testDSShell,Magic Number,The method contains a magic number: 30000,124
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testDSShellError,Empty catch clause,The method has an empty catch block.,156
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testDSShellError,Long Statement,The length of the statement "String[] args={"--classpath"`classpath`"--queue"`"default"`"--cmd"`javaHome + "/bin/java -Xmx512m " + TestUnmanagedAMLauncher.class.getCanonicalName()+ " failure"};" is 164.,156
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testDSShellError,Magic Number,The method contains a magic number: 30000,156
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,main,Long Statement,The length of the statement "FinishApplicationMasterResponse resp=client.finishApplicationMaster(FinishApplicationMasterRequest.newInstance(FinalApplicationStatus.SUCCEEDED`"success"`null));" is 161.,191
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,main,Magic Number,The method contains a magic number: 1000,191
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,launchAM,Complex Method,Cyclomatic complexity of the method is 8,174
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,launchAM,Empty catch clause,The method has an empty catch block.,174
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,launchAM,Long Method,The method has 109 lines of code.,174
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,run,Long Statement,The length of the statement "appReport=monitorApplication(appId`EnumSet.of(YarnApplicationState.KILLED`YarnApplicationState.FAILED`YarnApplicationState.FINISHED));" is 134.,306
