Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
hadoop,org.apache.hadoop.yarn.util,BuilderUtils.ContainerIdComparator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,BuilderUtils.ContainerIdComparator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,BuilderUtils.ResourceRequestComparator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,BuilderUtils.ResourceRequestComparator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,Self,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,FSDownload,Feature Envy,The tool detected a instance of this smell because createDir is more interested in members of the type: FileContext
hadoop,org.apache.hadoop.yarn.util,VisualizeStateMachine,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,LinuxResourceCalculatorPlugin,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; UNAVAILABLE; PROCFS_MEMFILE; PROCFS_MEMFILE_FORMAT; MEMTOTAL_STRING; SWAPTOTAL_STRING; MEMFREE_STRING; SWAPFREE_STRING; INACTIVE_STRING; PROCFS_CPUINFO; PROCESSOR_FORMAT; FREQUENCY_FORMAT; PROCFS_STAT; CPU_TIME_FORMAT; procfsMemFile; procfsCpuFile; procfsStatFile; jiffyLengthInMillis; ramSize; swapSize; ramSizeFree; swapSizeFree; inactiveSize; numProcessors; cpuFrequency; cumulativeCpuTime; lastCumulativeCpuTime; cpuUsage; sampleTime; lastSampleTime; readMemInfoFile; readCpuInfoFile
hadoop,org.apache.hadoop.yarn.util,AbstractLivelinessMonitor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,AbstractLivelinessMonitor,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; checkerThread; stopped; DEFAULT_EXPIRE; expireInterval; monitorInterval; clock; running
hadoop,org.apache.hadoop.yarn.util,AbstractLivelinessMonitor.PingChecker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,AbstractLivelinessMonitor.PingChecker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,StringHelper,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.8571428571428571
hadoop,org.apache.hadoop.yarn.util,StringHelper,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SSV_JOINER; CSV_JOINER; JOINER; _JOINER; PATH_JOINER; PATH_ARG_JOINER; DOT_JOINER; SSV_SPLITTER; _SPLITTER; ABS_URL_RE
hadoop,org.apache.hadoop.yarn.api.records.impl.pb,QueueInfoPBImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.api.records.impl.pb,QueueInfoPBImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
hadoop,org.apache.hadoop.yarn.api.records.impl.pb,ResourceRequestPBImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.api.records.impl.pb,QueueUserACLInfoPBImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.api.records.impl.pb,AMResponsePBImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
hadoop,org.apache.hadoop.yarn.api.records.impl.pb,ApplicationReportPBImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 35 public methods
hadoop,org.apache.hadoop.yarn.api.records.impl.pb,ContainerLaunchContextPBImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 37 public methods
hadoop,org.apache.hadoop.yarn.api.records.impl.pb,ApplicationMasterPBImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.api.records.impl.pb,ApplicationMasterPBImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
hadoop,org.apache.hadoop.yarn.api.records.impl.pb,DelegationTokenPBImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.api.records.impl.pb,ContainerPBImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
hadoop,org.apache.hadoop.yarn.api.records.impl.pb,YarnClusterMetricsPBImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.api.records,ProtoBase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.api.records,ContainerToken,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: getIdentifier
hadoop,org.apache.hadoop.yarn.api.records,YarnApplicationState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.api.records,ContainerState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.api.records,QueueState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.api.records,ApplicationReport,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 32 methods
hadoop,org.apache.hadoop.yarn.api.records,LocalResourceVisibility,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
