Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Long Statement,The length of the statement "publishApplicationAttemptEvent(timelineClient`appAttemptID.toString()`DSEvent.DS_APP_ATTEMPT_END`domainId`appSubmitterUgi);" is 123.,516
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Magic Number,The method contains a magic number: 1000,516
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,finish,Empty catch clause,The method has an empty catch block.,628
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,finish,Long Statement,The length of the statement "appMessage="Diagnostics." + "` total=" + numTotalContainers + "` completed="+ numCompletedContainers.get()+ "` allocated="+ numAllocatedContainers.get()+ "` failed="+ numFailedContainers.get();" is 193.,628
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,finish,Magic Number,The method contains a magic number: 200,628
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,finish,Magic Number,The method contains a magic number: 10000,628
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,publishContainerStartEvent,Long Statement,The length of the statement "LOG.error("Container start event could not be published for " + container.getId().toString()`e instanceof UndeclaredThrowableException ? e.getCause() : e);" is 155.,1044
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,publishContainerEndEvent,Long Statement,The length of the statement "LOG.error("Container end event could not be published for " + container.getContainerId().toString()`e instanceof UndeclaredThrowableException ? e.getCause() : e);" is 162.,1073
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,publishApplicationAttemptEvent,Long Parameter List,The method has 5 parameters. ,1102
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,publishApplicationAttemptEvent,Long Statement,The length of the statement "LOG.error("App Attempt " + (appEvent.equals(DSEvent.DS_APP_ATTEMPT_START) ? "start" : "end") + " event could not be published for "+ appAttemptId.toString()`e instanceof UndeclaredThrowableException ? e.getCause() : e);" is 219.,1102
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,setup,Long Statement,The length of the statement "LOG.info("MiniYARN ResourceManager published web address: " + yarnClusterConfig.get(YarnConfiguration.RM_WEBAPP_ADDRESS));" is 122.,58
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,setup,Magic Number,The method contains a magic number: 128,58
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,setup,Magic Number,The method contains a magic number: 2000,58
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testUMALauncher,Long Statement,The length of the statement "String[] args={"--classpath"`classpath`"--queue"`"default"`"--cmd"`javaHome + "/bin/java -Xmx512m " + TestUnmanagedAMLauncher.class.getCanonicalName()+ " success"};" is 164.,126
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testUMALauncher,Long Statement,The length of the statement "YarnApplicationAttemptState attemptState=rmClient.getApplicationAttemptReport(attemptId).getYarnApplicationAttemptState();" is 122.,126
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testUMALauncher,Magic Number,The method contains a magic number: 30000,126
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,launchAM,Long Statement,The length of the statement "YarnApplicationAttemptState attemptState=rmClient.getApplicationAttemptReport(attemptId).getYarnApplicationAttemptState();" is 122.,148
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testUMALauncherError,Empty catch clause,The method has an empty catch block.,168
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testUMALauncherError,Long Statement,The length of the statement "String[] args={"--classpath"`classpath`"--queue"`"default"`"--cmd"`javaHome + "/bin/java -Xmx512m " + TestUnmanagedAMLauncher.class.getCanonicalName()+ " failure"};" is 164.,168
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,testUMALauncherError,Magic Number,The method contains a magic number: 30000,168
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,main,Long Statement,The length of the statement "FinishApplicationMasterResponse resp=client.finishApplicationMaster(FinishApplicationMasterRequest.newInstance(FinalApplicationStatus.SUCCEEDED`"success"`null));" is 161.,203
